GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
0400000US01,01,Alabama,1841217,10615,1232515,11755,870026,12061,362489,7696,77605,4478,284884,6553,608702,10930,530916,10826,77786,4133
0400000US02,02,Alaska,249659,2978,165015,3765,124028,3565,40987,3201,14666,1760,26321,2332,84644,3784,63973,3219,20671,1892
0400000US04,04,Arizona,2428743,11353,1579481,13962,1141295,13485,438186,9863,134120,5652,304066,7963,849262,12195,669627,10626,179635,6955
0400000US05,05,Arkansas,1131288,8373,752212,9854,546528,9376,205684,7012,53552,4358,152132,5472,379076,9260,323420,8151,55656,3646
0400000US06,06,California,12758648,18835,8762059,27318,6239143,26454,2522916,23148,772276,14460,1750640,18960,3996589,24576,3062500,23525,934089,14729
0400000US08,08,Colorado,2039592,7530,1315283,8405,1005726,10270,309557,7641,99135,5173,210422,6507,724309,7586,559912,9230,164397,6033
0400000US09,09,Connecticut,1355817,6673,887263,10002,650673,9276,236590,6825,64771,4207,171819,6120,468554,8539,392309,8253,76245,4003
0400000US10,10,Delaware,349743,3705,233000,4645,165362,4195,67638,3162,18157,2184,49481,2861,116743,4375,96302,4537,20441,2572
0400000US11,11,District of Columbia,277378,3304,117864,3359,66244,3097,51620,3103,9496,1621,42124,2614,159514,3865,123743,3833,35771,2338
0400000US12,12,Florida,7328046,25793,4693411,24879,3380103,24537,1313308,18799,353537,9783,959771,14173,2634635,21591,2135355,20195,499280,12316
0400000US13,13,Georgia,3587521,13961,2426392,15122,1692033,16406,734359,13500,172404,7216,561955,11760,1161129,13258,964072,14067,197057,7386
0400000US15,15,Hawaii,450769,4870,314151,5725,232049,4639,82102,3161,26199,2497,55903,2676,136618,5076,106271,4219,30347,2736
0400000US16,16,Idaho,591587,4733,407499,5941,324619,6464,82880,4627,27575,3301,55305,3597,184088,6013,151201,6062,32887,2638
0400000US17,17,Illinois,4772421,12392,3099184,17994,2269298,16848,829886,12599,227528,7528,602358,9799,1673237,15699,1379600,13869,293637,7855
0400000US18,18,Indiana,2502739,10912,1657223,12597,1219395,13717,437828,9469,120564,5671,317264,7669,845516,11094,693396,10738,152120,5887
0400000US19,19,Iowa,1241471,6257,801562,6871,636747,7680,164815,5776,54441,3441,110374,4814,439909,6881,356774,6548,83135,3903
0400000US20,20,Kansas,1109280,6429,728602,7887,564871,8163,163731,6154,51140,3103,112591,5597,380678,6986,320616,6809,60062,3127
0400000US21,21,Kentucky,1712094,8632,1124586,10250,828926,10947,295660,7352,79241,4457,216419,6462,587508,8821,487576,6939,99932,5812
0400000US22,22,Louisiana,1718194,10232,1112659,9882,741899,10099,370760,8047,92643,5021,278117,7394,605535,11470,511005,10580,94530,4701
0400000US23,23,Maine,549841,5205,344585,5357,263704,4972,80881,4057,25981,2366,54900,3505,205256,5521,161859,4748,43397,3018
0400000US24,24,Maryland,2165438,8230,1445972,11686,1022058,12423,423914,9260,106105,5982,317809,8369,719466,9974,582835,11244,136631,5319
0400000US25,25,Massachusetts,2549336,9145,1610581,11929,1183524,12258,427057,8833,107701,5356,319356,7406,938755,12055,739844,11858,198911,6407
0400000US26,26,Michigan,3834574,12574,2485159,14714,1814961,13892,670198,10097,182312,6155,487886,8216,1349415,13856,1115614,12491,233801,5957
0400000US27,27,Minnesota,2129195,6975,1369594,10930,1075956,10727,293638,8154,89801,4314,203837,5816,759601,9403,611108,9218,148493,4904
0400000US28,28,Mississippi,1095823,8793,738463,9100,482221,9251,256242,6501,55629,4144,200613,5536,357360,7188,313403,7945,43957,3546
0400000US29,29,Missouri,2354809,12290,1508816,13340,1124715,11111,384101,8789,103300,5474,280801,7932,845993,12185,702018,11569,143975,4802
0400000US30,30,Montana,410962,3391,251176,5144,199495,5288,51681,2829,17819,1932,33862,1994,159786,4588,128311,4230,31475,2917
0400000US31,31,Nebraska,740765,3795,480317,5426,371696,5522,108621,4088,30590,2212,78031,3372,260448,5166,211536,5082,48912,2878
0400000US32,32,Nevada,1021519,6553,642461,7985,447162,6558,195299,6572,67405,3690,127894,5624,379058,7812,298089,7488,80969,4462
0400000US33,33,New Hampshire,519756,4605,345901,5099,270978,4490,74923,4248,24221,2510,50702,3596,173855,5558,132161,5243,41694,3071
0400000US34,34,New Jersey,3194844,10719,2203675,15024,1607880,11979,595795,10279,154428,6346,441367,8776,991169,14189,826340,13575,164829,6527
0400000US35,35,New Mexico,760916,6897,489532,7201,340733,6214,148799,4495,42076,2999,106723,4079,271384,7109,227301,6734,44083,3479
0400000US36,36,New York,7282398,15877,4621954,18878,3176379,16778,1445575,15513,366755,8559,1078820,12339,2660444,21709,2166287,21230,494157,10302
0400000US37,37,North Carolina,3790620,14716,2492048,17217,1803874,15234,688174,12288,171445,6601,516729,10248,1298572,16253,1077581,14478,220991,7886
0400000US38,38,North Dakota,305431,3533,187800,4204,149016,3686,38784,3001,14108,1969,24676,2390,117631,4196,93963,3690,23668,2725
0400000US39,39,Ohio,4593172,13994,2923523,16690,2104719,15671,818804,12837,214341,7082,604463,10668,1669649,15086,1395136,15411,274513,9193
0400000US40,40,Oklahoma,1459759,5575,966516,7153,710773,6030,255743,6158,73148,3591,182595,4759,493243,7707,411134,7318,82109,3716
0400000US41,41,Oregon,1535511,6674,966250,10337,730615,9955,235635,7515,71466,4154,164169,6403,569261,7984,431526,8875,137735,5035
0400000US42,42,Pennsylvania,4945972,12878,3185054,17847,2364442,15878,820612,12775,224880,6520,595732,10598,1760918,18013,1463776,15833,297142,8323
0400000US44,44,Rhode Island,409654,3327,257165,5063,179215,4972,77950,3455,20253,2238,57697,3615,152489,5134,121626,4616,30863,3109
0400000US45,45,South Carolina,1826914,10151,1201616,11426,847329,10524,354287,8720,83380,5166,270907,8346,625298,9705,526516,9367,98782,5058
0400000US46,46,South Dakota,334475,2656,211235,4208,165729,4179,45506,2725,14250,1447,31256,2378,123240,4054,102607,3779,20633,1948
0400000US47,47,Tennessee,2509665,11315,1660344,15866,1203038,14862,457306,10457,114935,5547,342371,8081,849321,14794,709149,13513,140172,6890
0400000US48,48,Texas,9277197,22719,6407165,29321,4603234,27270,1803931,25171,477204,12008,1326727,19053,2870032,24237,2346941,22042,523091,11252
0400000US49,49,Utah,918370,4666,691495,6211,566881,6427,124614,5152,37803,3513,86811,4853,226875,5859,177104,5817,49771,3246
0400000US50,50,Vermont,257229,3177,162017,3119,125741,3293,36276,2271,11469,1442,24807,2094,95212,3268,73617,3021,21595,1696
0400000US51,51,Virginia,3083820,12955,2058820,15546,1544439,14338,514381,11177,133347,6615,381034,9487,1025000,12283,833523,12254,191477,5251
0400000US53,53,Washington,2679601,9916,1725099,12755,1329276,12459,395823,9204,120527,5410,275296,7468,954502,12810,741962,12622,212540,6548
0400000US54,54,West Virginia,735375,6298,472869,8027,355690,7517,117179,5086,33280,2681,83899,4157,262506,6183,218036,6018,44470,3470
0400000US55,55,Wisconsin,2307685,7753,1485877,10597,1133193,10338,352684,7521,113960,4925,238724,5695,821808,9080,657138,9200,164670,5680
0400000US56,56,Wyoming,232594,2987,149032,3982,117040,3830,31992,2585,12147,1635,19845,2032,83562,3685,67081,3537,16481,1955
0400000US72,72,Puerto Rico,1233490,9061,867505,10682,489760,8473,377745,10114,83007,5489,294738,7962,365985,8493,320406,7699,45579,3553
